"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@celedark1 노는 것도 좋은데, 건강 챙기면서. 알지?",FALSE,0,"celedark1",2016-11-13 00:05:53,FALSE,"797591064165040128","797591276933693444","1427074291","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","4_ichi_forest",0,FALSE,FALSE,NA,NA
"RT @KhalaniJames: ❄️Mu Zeta got something in store for y'all... Forest Theater 11/13 19:06❄️ https://t.co/g7tjfSYYIf",FALSE,0,NA,2016-11-13 00:05:52,FALSE,NA,"797591273377042432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Angummm_",2,TRUE,FALSE,NA,NA
"Wake forest is not bad at all",FALSE,0,NA,2016-11-13 00:05:51,FALSE,NA,"797591269094596609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jmcoultrap",0,FALSE,FALSE,NA,NA
"RT @KatContii: Come along with me. And the butterflies and bees. We can wander through the forest. And do so as we please. https://t.co/RW6…",FALSE,0,NA,2016-11-13 00:05:48,FALSE,NA,"797591254145974272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TaylorA47771566",1,TRUE,FALSE,NA,NA
"RT @BestScenees: Forest Gump is the realist  https://t.co/vov9gwfTZQ",FALSE,0,NA,2016-11-13 00:05:44,FALSE,NA,"797591240707604480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","justin16taylor",1227,TRUE,FALSE,NA,NA
"No te pierdas el nuevo directo de The Forest ^^!! Locuras en el Bosque ^^! https://t.co/07qNJfjg1h",FALSE,2,NA,2016-11-13 00:05:40,FALSE,NA,"797591224052019204",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Arcanlz",2,FALSE,FALSE,NA,NA
"RT @filmf__: 【腐】ヴィク勇ログ | あり子 #pixiv https://t.co/Ls7pREljjZ",FALSE,0,NA,2016-11-13 00:05:38,FALSE,NA,"797591212026802176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","master8_forest",1,TRUE,FALSE,NA,NA
"Wake Forest is about to beat Lamar Jackson and Louisville. Don't @ me",FALSE,0,NA,2016-11-13 00:05:37,FALSE,NA,"797591208692449280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrestonHurter",0,FALSE,FALSE,NA,NA
"Mama Rose in the house. Prepare to die Wake Forest.",FALSE,2,NA,2016-11-13 00:05:37,FALSE,NA,"797591208503705600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","snicklefritz35",0,FALSE,FALSE,NA,NA
"I added a video to a @YouTube playlist https://t.co/QKHHLb8xkG The Order of the Purple Butterfly - The Salwaran Forest",FALSE,0,NA,2016-11-13 00:05:36,FALSE,NA,"797591205144121345",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","GetJinxedCosply",0,FALSE,FALSE,NA,NA
"@noturavggirl3 update: i'm at the brook in the forest and wrote an ""A"" on myself with seaweed",FALSE,0,"noturavggirl3",2016-11-13 00:05:35,FALSE,"797590553517051904","797591198915526656","3760778775","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","noturavggirl3",0,FALSE,FALSE,NA,NA
"Wake Forest won the toss and deferred to the second half. UofL elected to receive to start the game.",FALSE,2,NA,2016-11-13 00:05:34,FALSE,NA,"797591194880606208",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","UofLFootball",2,FALSE,FALSE,NA,NA
"Amidst the political unrest &amp; WNC forest fires I'm making time to take my son to his 2nd concert, Bob Dylan.  Let's… https://t.co/i4kIDQOiph",FALSE,0,NA,2016-11-13 00:05:32,TRUE,NA,"797591189134446592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrendonHam270",0,FALSE,FALSE,NA,NA
"Dark Fortress Radio: Now Playing Carpathian Forest - The Old House on the Hill
TuneIn Player @ https://t.co/RHuppvIO9u",FALSE,0,NA,2016-11-13 00:05:32,FALSE,NA,"797591187318276096",NA,"<a href=""http://www.darkfortressradio.com"" rel=""nofollow"">Now Playing On DFR</a>","darkfortressrad",0,FALSE,FALSE,NA,NA
"@Rantanen @RadioKC ""I shiver, Huldran can take me without warning. The forest’s mythical creatures suddenly feels alive."" @rikardvilhelm",FALSE,0,"Rantanen",2016-11-13 00:05:30,FALSE,"797590329293729792","797591182008320000","9369422","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LaimaPersik",0,FALSE,FALSE,NA,NA
"I added a video to a @YouTube playlist https://t.co/s8BkgWhY2x Best Action Movies 2016 || Green Forest Warrior Full HD || English",FALSE,0,NA,2016-11-13 00:05:29,FALSE,NA,"797591174265638912",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","garyquinn3232",0,FALSE,FALSE,NA,NA
"Enchanted Forest https://t.co/ALfz9Wh8Io",FALSE,0,NA,2016-11-13 00:05:27,FALSE,NA,"797591165428232193",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Long_Live_JMo",0,FALSE,FALSE,NA,NA
"naked forest https://t.co/OOLAj9lCdn",FALSE,0,NA,2016-11-13 00:05:26,FALSE,NA,"797591162248974336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Katie_Duval",0,FALSE,FALSE,NA,NA
