"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"RT @travel2next: Thrilling Bear Watching Experience in Finland in The Forest https://t.co/1AVAemr5VD https://t.co/GIrake73w0",FALSE,0,NA,2016-11-13 05:39:16,FALSE,NA,"797675173059198976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lnterfaceAU",24,TRUE,FALSE,NA,NA,"Australia","en","http://pbs.twimg.com/profile_images/540358615161651200/gcueNRPS_normal.jpeg"
"Looking for a job? https://t.co/lFLkjPWNyE",FALSE,0,NA,2016-11-13 05:39:14,FALSE,NA,"797675167757561857",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Weston_High",0,FALSE,FALSE,NA,NA,"Arlington, WA","en","http://pbs.twimg.com/profile_images/633125036308586496/Usxk-Bbu_normal.jpg"
"RT @travel2next: Thrilling Bear Watching Experience in Finland in The Forest https://t.co/1AVAemr5VD https://t.co/GIrake73w0",FALSE,0,NA,2016-11-13 05:39:14,FALSE,NA,"797675166243454977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","margb5394",24,TRUE,FALSE,NA,NA,"Sydney, Australia","en","http://pbs.twimg.com/profile_images/540369778322702336/ee5p4HWP_normal.jpeg"
"Three teams in front of Louisville in the rankings lost today, sports editor @dray5477 talks after the Cardinals' w… https://t.co/SftKeqS7Mp",FALSE,0,NA,2016-11-13 05:39:11,TRUE,NA,"797675154939777024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheCardSports",0,FALSE,FALSE,NA,NA,"Louisville, Ky.","en","http://pbs.twimg.com/profile_images/634447147962732544/qXZ2ey-X_normal.png"
"RT @ForTheWin: Louisville’s Jaire Alexander hilariously prances around Wake Forest wide receiver https://t.co/r9lB9VQhxC
https://t.co/r4NP3…",FALSE,0,NA,2016-11-13 05:39:09,FALSE,NA,"797675147503276034",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Raydboy",72,TRUE,FALSE,NA,NA,"cloud 9","en","http://pbs.twimg.com/profile_images/793948105007890432/U4jJF4GC_normal.jpg"
"RT @jeffgreer_cj: [new] Keith Kelsey: ""You better watch out"" - Devonte Fields is healthy and playing well. Dominant vs. Wake. https://t.co/…",FALSE,0,NA,2016-11-13 05:39:06,FALSE,NA,"797675132823207936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Robfromthaville",4,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/791171167226912768/1fsVIglK_normal.jpg"
"RT @travel2next: Thrilling Bear Watching Experience in Finland in The Forest https://t.co/1AVAemr5VD https://t.co/GIrake73w0",FALSE,0,NA,2016-11-13 05:39:03,FALSE,NA,"797675118843621376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RobJW3",24,TRUE,FALSE,NA,NA,"Sydney","en","http://pbs.twimg.com/profile_images/540334146670055426/YrpzluFe_normal.jpeg"
"Me at forest https://t.co/FdjEdnBIjd",FALSE,0,NA,2016-11-13 05:38:59,FALSE,NA,"797675103408496640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BaeCeurvorst",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/796467640965484545/sjvIKEEj_normal.jpg"
"RT @travel2next: Thrilling Bear Watching Experience in Finland in The Forest https://t.co/1AVAemr5VD https://t.co/GIrake73w0",FALSE,0,NA,2016-11-13 05:38:57,FALSE,NA,"797675097045790722",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MlssRuthyC",24,TRUE,FALSE,NA,NA,"Sydney, Australia","en","http://pbs.twimg.com/profile_images/540350613490786304/vjcdMs-T_normal.jpeg"
"RT @travel2next: Thrilling Bear Watching Experience in Finland in The Forest https://t.co/1AVAemr5VD https://t.co/GIrake73w0",FALSE,0,NA,2016-11-13 05:38:57,FALSE,NA,"797675093669376000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lydlacareyy",24,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/540358535805407232/j4R_1_uw_normal.jpeg"
"RT @travel2next: Thrilling Bear Watching Experience in Finland in The Forest https://t.co/1AVAemr5VD https://t.co/GIrake73w0",FALSE,0,NA,2016-11-13 05:38:55,FALSE,NA,"797675085238779904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","keensm4d",24,TRUE,FALSE,NA,NA,"Melbourne, Australia.","en","http://pbs.twimg.com/profile_images/540376218047377408/WK1wixcM_normal.jpeg"
"@ELVERBUGO 아마 탱커가 징 찍어준거 있을거야. 그거대로 잡으면 어지간하면 어글 안털릴텐데... 만약 그거대로 쳤는데 어글 털리면 걔가 어글 완전히 잡기전에 힐넣어서 그런걸수도 있으니까 딜이나 힐을 조금 느지막하게 줘봐.",FALSE,1,"ELVERBUGO",2016-11-13 05:38:53,FALSE,"797674621109575680","797675080020959232","3034484606","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","forest_bear_",0,FALSE,FALSE,NA,NA,"","ko","http://pbs.twimg.com/profile_images/752514196684705792/pYWAqPqA_normal.jpg"
